Id 	Name 	Group 	Rows 	Cols 	Nonzeros 	Kind 	Date 	
2660 	Queen_4147 	Janna 	4,147,110 	4,147,110 	316,548,962 	2D/3D Problem 	2014 	
2384 	HV15R 	Fluorem 	2,017,169 	2,017,169 	283,073,458 	Computational Fluid Dynamics Problem 	2011 	
2508 	rgg_n_2_24_s0 	DIMACS10 	16,777,216 	16,777,216 	265,114,400 	Undirected Random Graph 	2011 	
2494 	kron_g500-logn21 	DIMACS10 	2,097,152 	2,097,152 	182,082,942 	Undirected Multigraph 	2010 	
2507 	rgg_n_2_23_s0 	DIMACS10 	8,388,608 	8,388,608 	127,002,786 	Undirected Random Graph 	2011 	
2548 	Cube_Coup_dt0 	Janna 	2,164,760 	2,164,760 	124,406,070 	Structural Problem 	2012 	
2549 	Cube_Coup_dt6 	Janna 	2,164,760 	2,164,760 	124,406,070 	Structural Problem 	2012 	
2544 	Flan_1565 	Janna 	1,564,794 	1,564,794 	114,165,372 	Structural Problem 	2011 	
2650 	ML_Geer 	Janna 	1,504,002 	1,504,002 	110,686,677 	Structural Problem 	2012 	
2511 	europe_osm 	DIMACS10 	50,912,018 	50,912,018 	108,109,320 	Undirected Graph 	2010 	
2479 	delaunay_n24 	DIMACS10 	16,777,216 	16,777,216 	100,663,202 	Undirected Graph 	2011 	
2493 	kron_g500-logn20 	DIMACS10 	1,048,576 	1,048,576 	89,239,674 	Undirected Multigraph 	2010 	
2496 	channel-500x100x100-b050 	DIMACS10 	4,802,000 	4,802,000 	85,362,744 	Undirected Graph 	2011 	
2550 	Long_Coup_dt0 	Janna 	1,470,152 	1,470,152 	84,422,970 	Structural Problem 	2012 	
2551 	Long_Coup_dt6 	Janna 	1,470,152 	1,470,152 	84,422,970 	Structural Problem 	2012 	
1252 	audikw_1 	GHS_psdef 	943,695 	943,695 	77,651,847 	Structural Problem 	2004 	
2541 	Serena 	Janna 	1,391,349 	1,391,349 	64,131,971 	Structural Problem 	2011 	
2482 	hugebubbles-00020 	DIMACS10 	21,198,119 	21,198,119 	63,580,358 	Undirected Graph 	2005 	
2506 	rgg_n_2_22_s0 	DIMACS10 	4,194,304 	4,194,304 	60,718,396 	Undirected Random Graph 	2011 	
2545 	Geo_1438 	Janna 	1,437,960 	1,437,960 	60,236,322 	Structural Problem 	2011 	
2546 	Hook_1498 	Janna 	1,498,023 	1,498,023 	59,374,451 	Structural Problem 	2011 	
2481 	hugebubbles-00010 	DIMACS10 	19,458,087 	19,458,087 	58,359,528 	Undirected Graph 	2005 	
2459 	road_usa 	DIMACS10 	23,947,347 	23,947,347 	57,708,624 	Undirected Graph 	2011 	
2480 	hugebubbles-00000 	DIMACS10 	18,318,143 	18,318,143 	54,940,162 	Undirected Graph 	2005 	
1586 	af_shell10 	Schenk_AFE 	1,508,065 	1,508,065 	52,259,885 	Structural Problem 	2006 	
2478 	delaunay_n23 	DIMACS10 	8,388,608 	8,388,608 	50,331,568 	Undirected Graph 	2011 	
2485 	hugetrace-00020 	DIMACS10 	16,002,413 	16,002,413 	47,997,626 	Undirected Graph 	2005 	
2492 	kron_g500-logn19 	DIMACS10 	524,288 	524,288 	43,562,265 	Undirected Multigraph 	2010 	
1268 	ldoor 	GHS_psdef 	952,203 	952,203 	42,493,817 	Structural Problem 	2004 	
2542 	Emilia_923 	Janna 	923,136 	923,136 	40,373,538 	Structural Problem 	2011 	
1267 	inline_1 	GHS_psdef 	503,712 	503,712 	36,816,170 	Structural Problem 	2004 	
2484 	hugetrace-00010 	DIMACS10 	12,057,441 	12,057,441 	36,164,358 	Undirected Graph 	2005 	
2497 	packing-500x100x100-b050 	DIMACS10 	2,145,852 	2,145,852 	34,976,486 	Undirected Graph 	2011 	
2458 	road_central 	DIMACS10 	14,081,816 	14,081,816 	33,866,826 	Undirected Graph 	2011 	
2463 	coPapersCiteseer 	DIMACS10 	434,102 	434,102 	32,073,440 	Undirected Graph 	2008 	
2464 	coPapersDBLP 	DIMACS10 	540,486 	540,486 	30,491,458 	Undirected Graph 	2008 	
2505 	rgg_n_2_21_s0 	DIMACS10 	2,097,152 	2,097,152 	28,975,990 	Undirected Random Graph 	2011 	
2648 	ML_Laplace 	Janna 	377,002 	377,002 	27,582,698 	Structural Problem 	2012 	
2495 	adaptive 	DIMACS10 	6,815,744 	6,815,744 	27,248,640 	Undirected Graph 	2011 	
2543 	Fault_639 	Janna 	638,802 	638,802 	27,245,944 	Structural Problem 	2011 	
1411 	F1 	Koutsovasilis 	343,791 	343,791 	26,837,113 	Structural Problem 	2006 	
2509 	asia_osm 	DIMACS10 	11,950,757 	11,950,757 	25,423,206 	Undirected Graph 	2010 	
2477 	delaunay_n22 	DIMACS10 	4,194,304 	4,194,304 	25,165,738 	Undirected Graph 	2011 	
2581 	NLR 	DIMACS10 	4,163,763 	4,163,763 	24,975,952 	Undirected Graph 	2011 	
2512 	germany_osm 	DIMACS10 	11,548,845 	11,548,845 	24,738,362 	Undirected Graph 	2010 	
2649 	Transport 	Janna 	1,602,111 	1,602,111 	23,487,281 	Structural Problem 	2012 	
2578 	AS365 	DIMACS10 	3,799,275 	3,799,275 	22,736,152 	Undirected Graph 	2011 	
2577 	333SP 	DIMACS10 	3,712,815 	3,712,815 	22,217,266 	Undirected Graph 	2011 	
2488 	hugetric-00020 	DIMACS10 	7,122,792 	7,122,792 	21,361,554 	Undirected Graph 	2005 	
2491 	kron_g500-logn18 	DIMACS10 	262,144 	262,144 	21,165,908 	Undirected Multigraph 	2010 	
2547 	StocF-1465 	Janna 	1,465,137 	1,465,137 	21,005,389 	Computational Fluid Dynamics Problem 	2011 	
2579 	M6 	DIMACS10 	3,501,776 	3,501,776 	21,003,872 	Undirected Graph 	2011 	
2487 	hugetric-00010 	DIMACS10 	6,592,765 	6,592,765 	19,771,708 	Undirected Graph 	2005 	
1644 	msdoor 	INPRO 	415,863 	415,863 	19,173,163 	Structural Problem 	2005 	
948 	af_shell9 	Schenk_AFE 	504,855 	504,855 	17,588,845 	Subsequent Structural Problem 	2003 	
946 	af_shell7 	Schenk_AFE 	504,855 	504,855 	17,579,155 	Subsequent Structural Problem 	2003 	
945 	af_shell6 	Schenk_AFE 	504,855 	504,855 	17,579,155 	Subsequent Structural Problem 	2003 	
944 	af_shell5 	Schenk_AFE 	504,855 	504,855 	17,579,155 	Subsequent Structural Problem 	2003 	
947 	af_shell8 	Schenk_AFE 	504,855 	504,855 	17,579,155 	Subsequent Structural Problem 	2003 	
941 	af_shell2 	Schenk_AFE 	504,855 	504,855 	17,562,051 	Subsequent Structural Problem 	2003 	
940 	af_shell1 	Schenk_AFE 	504,855 	504,855 	17,562,051 	Structural Problem Sequence 	2003 	
943 	af_shell4 	Schenk_AFE 	504,855 	504,855 	17,562,051 	Subsequent Structural Problem 	2003 	
942 	af_shell3 	Schenk_AFE 	504,855 	504,855 	17,562,051 	Subsequent Structural Problem 	2003 	
1585 	af_5_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
1584 	af_4_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
1583 	af_3_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
1582 	af_2_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
1580 	af_0_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
1581 	af_1_k101 	Schenk_AFE 	503,625 	503,625 	17,550,675 	Structural Problem 	2006 	
2486 	hugetric-00000 	DIMACS10 	5,824,554 	5,824,554 	17,467,046 	Undirected Graph 	2005 	
2647 	CoupCons3D 	Janna 	416,800 	416,800 	17,277,420 	Structural Problem 	2012 	
2513 	great-britain_osm 	DIMACS10 	7,733,822 	7,733,822 	16,313,034 	Undirected Graph 	2010 	
2236 	TSOPF_RS_b2383_c1 	TSOPF 	38,120 	38,120 	16,171,169 	Power Network Problem 	2009 	
2219 	TSOPF_RS_b2383 	TSOPF 	38,120 	38,120 	16,171,169 	Power Network Problem 	2009 	
2498 	venturiLevel3 	DIMACS10 	4,026,819 	4,026,819 	16,108,474 	Undirected Graph 	2011 	
860 	pkustk14 	Chen 	151,926 	151,926 	14,836,504 	Structural Problem 	2002 	
1258 	crankseg_2 	GHS_psdef 	63,838 	63,838 	14,148,858 	Structural Problem 	2004 	
2514 	italy_osm 	DIMACS10 	6,686,493 	6,686,493 	14,027,956 	Undirected Graph 	2010 	
2504 	rgg_n_2_20_s0 	DIMACS10 	1,048,576 	1,048,576 	13,783,240 	Undirected Random Graph 	2011 	
2483 	hugetrace-00000 	DIMACS10 	4,588,484 	4,588,484 	13,758,266 	Undirected Graph 	2005 	
2757 	JP 	Harvard_Seismology 	87,616 	67,320 	13,734,559 	Tomography Problem 	2015 	
2226 	TSOPF_FS_b300_c3 	TSOPF 	84,414 	84,414 	13,135,930 	Power Network Problem 	2009 	
2476 	delaunay_n21 	DIMACS10 	2,097,152 	2,097,152 	12,582,816 	Undirected Graph 	2011 	
1265 	halfb 	DNVS 	224,617 	224,617 	12,387,821 	Structural Problem 	2004 	
1285 	troll 	DNVS 	213,453 	213,453 	11,985,111 	Structural Problem 	2004 	
1264 	fullb 	DNVS 	199,187 	199,187 	11,708,077 	Structural Problem 	2004 	
369 	pwtk 	Boeing 	217,918 	217,918 	11,524,432 	Structural Problem 	1995 	
1260 	fcondp2 	DNVS 	201,822 	201,822 	11,294,316 	Structural Problem 	2004 	
1219 	bmw3_2 	GHS_indef 	227,362 	227,362 	11,288,630 	Structural Problem 	2004 	
1254 	bmwcra_1 	GHS_psdef 	148,770 	148,770 	10,641,602 	Structural Problem 	2004 	
1257 	crankseg_1 	GHS_psdef 	52,804 	52,804 	10,614,210 	Structural Problem 	2004 	
2490 	kron_g500-logn17 	DIMACS10 	131,072 	131,072 	10,228,360 	Undirected Multigraph 	2010 	
1266 	hood 	GHS_psdef 	220,542 	220,542 	9,895,422 	Structural Problem 	2004 	
1269 	m_t1 	DNVS 	97,578 	97,578 	9,753,570 	Structural Problem 	1999 	
806 	gearbox 	Rothberg 	153,746 	153,746 	9,080,404 	Structural Problem 	1997 	
2244 	TSOPF_RS_b678_c2 	TSOPF 	35,696 	35,696 	8,781,949 	Power Network Problem 	2009 	
2225 	TSOPF_FS_b300_c2 	TSOPF 	56,814 	56,814 	8,767,466 	Power Network Problem 	2009 	
1290 	x104 	DNVS 	108,384 	108,384 	8,713,602 	Structural Problem 	1999 	
858 	pkustk12 	Chen 	94,653 	94,653 	7,512,317 	Structural Problem 	2002 	
1253 	bmw7st_1 	GHS_psdef 	141,347 	141,347 	7,318,399 	Structural Problem 	2004 	
2235 	TSOPF_RS_b2052_c1 	TSOPF 	25,626 	25,626 	6,761,100 	Power Network Problem 	2009 	
2519 	auto 	DIMACS10 	448,695 	448,695 	6,629,222 	Undirected Graph 	2000 	
859 	pkustk13 	Chen 	94,893 	94,893 	6,616,827 	Structural Problem 	2002 	
2503 	rgg_n_2_19_s0 	DIMACS10 	524,288 	524,288 	6,539,532 	Undirected Random Graph 	2011 	
2475 	delaunay_n20 	DIMACS10 	1,048,576 	1,048,576 	6,291,372 	Undirected Graph 	2011 	
2580 	NACA0015 	DIMACS10 	1,039,183 	1,039,183 	6,229,636 	Undirected Graph 	2011 	
1867 	Chebyshev4 	Muite 	68,121 	68,121 	5,377,761 	Structural Problem 	2007 	
1861 	F2 	Koutsovasilis 	71,505 	71,505 	5,294,285 	Structural Problem 	2007 	
857 	pkustk11 	Chen 	87,804 	87,804 	5,217,912 	Structural Problem 	2002 	
2489 	kron_g500-logn16 	DIMACS10 	65,536 	65,536 	4,912,469 	Undirected Multigraph 	2010 	
2516 	netherlands_osm 	DIMACS10 	2,216,688 	2,216,688 	4,882,476 	Undirected Graph 	2010 	
1423 	apache2 	GHS_psdef 	715,176 	715,176 	4,817,870 	Structural Problem 	2006 	
1910 	engine 	TKK 	143,571 	143,571 	4,706,073 	Structural Problem 	2008 	
1280 	shipsec5 	DNVS 	179,860 	179,860 	4,598,604 	Structural Problem 	1999 	
1283 	thread 	DNVS 	29,736 	29,736 	4,444,880 	Structural Problem 	1999 	
1275 	s3dkq4m2 	GHS_psdef 	90,449 	90,449 	4,427,725 	Structural Problem 	1997 	
2239 	TSOPF_RS_b300_c3 	TSOPF 	42,138 	42,138 	4,413,449 	Power Network Problem 	2009 	
2224 	TSOPF_FS_b300_c1 	TSOPF 	29,214 	29,214 	4,400,122 	Power Network Problem 	2009 	
2220 	TSOPF_FS_b300 	TSOPF 	29,214 	29,214 	4,400,122 	Power Network Problem 	2009 	
2243 	TSOPF_RS_b678_c1 	TSOPF 	18,696 	18,696 	4,396,289 	Power Network Problem 	2009 	
2373 	pdb1HYS 	Williams 	36,417 	36,417 	4,344,765 	Weighted Undirected Graph 	2008 	
856 	pkustk10 	Chen 	80,676 	80,676 	4,308,984 	Structural Problem 	2002 	
850 	pkustk04 	Chen 	55,590 	55,590 	4,218,660 	Structural Problem 	2002 	
1277 	ship_001 	DNVS 	34,920 	34,920 	3,896,496 	Structural Problem 	1999 	
1278 	ship_003 	DNVS 	121,728 	121,728 	3,777,036 	Structural Problem 	1999 	
1906 	s4dkt3m2 	TKK 	90,449 	90,449 	3,753,461 	Structural Problem 	2008 	
1909 	smt 	TKK 	25,710 	25,710 	3,749,582 	Structural Problem 	2008 	
1276 	s3dkt3m2 	GHS_psdef 	90,449 	90,449 	3,686,223 	Structural Problem 	1997 	
1279 	shipsec1 	DNVS 	140,874 	140,874 	3,568,176 	Structural Problem 	1999 	
2529 	m14b 	DIMACS10 	214,765 	214,765 	3,358,036 	Undirected Graph 	2000 	
1281 	shipsec8 	DNVS 	114,919 	114,919 	3,303,553 	Structural Problem 	1999 	
854 	pkustk08 	Chen 	22,209 	22,209 	3,226,671 	Structural Problem 	2002 	
932 	sme3Dc 	FEMLAB 	42,930 	42,930 	3,148,656 	Structural Problem 	2003 	
2474 	delaunay_n19 	DIMACS10 	524,288 	524,288 	3,145,646 	Undirected Graph 	2011 	
849 	pkustk03 	Chen 	63,336 	63,336 	3,130,416 	Structural Problem 	2002 	
2228 	TSOPF_FS_b39_c30 	TSOPF 	120,216 	120,216 	3,121,160 	Power Network Problem 	2009 	
2510 	belgium_osm 	DIMACS10 	1,441,295 	1,441,295 	3,099,940 	Undirected Graph 	2010 	
2502 	rgg_n_2_18_s0 	DIMACS10 	262,144 	262,144 	3,094,566 	Undirected Random Graph 	2011 	
1282 	srb1 	GHS_psdef 	54,924 	54,924 	2,962,152 	Structural Problem 	2004 	
2238 	TSOPF_RS_b300_c2 	TSOPF 	28,338 	28,338 	2,943,887 	Power Network Problem 	2009 	
368 	pct20stif 	Boeing 	52,329 	52,329 	2,698,463 	Structural Problem 	1995 	
761 	nasasrb 	Nasa 	54,870 	54,870 	2,677,324 	Structural Problem 	1995 	
356 	ct20stif 	Boeing 	52,329 	52,329 	2,600,295 	Structural Problem 	1995 	
852 	pkustk06 	Chen 	43,164 	43,164 	2,571,768 	Structural Problem 	2002 	
1286 	tsyl201 	DNVS 	20,685 	20,685 	2,454,957 	Structural Problem 	2004 	
853 	pkustk07 	Chen 	16,860 	16,860 	2,418,804 	Structural Problem 	2002 	
2223 	TSOPF_FS_b162_c4 	TSOPF 	40,798 	40,798 	2,398,220 	Power Network Problem 	2009 	
1287 	vanbody 	GHS_psdef 	47,072 	47,072 	2,329,056 	Structural Problem 	2004 	
2460 	citationCiteseer 	DIMACS10 	268,495 	268,495 	2,313,294 	Undirected Graph 	2008 	
851 	pkustk05 	Chen 	37,164 	37,164 	2,205,144 	Structural Problem 	2002 	
2517 	144 	DIMACS10 	144,649 	144,649 	2,148,786 	Undirected Graph 	2000 	
1270 	oilpan 	GHS_psdef 	73,752 	73,752 	2,148,558 	Structural Problem 	2004 	
931 	sme3Db 	FEMLAB 	29,067 	29,067 	2,081,063 	Structural Problem 	2003 	
846 	bcsstk39 	Boeing 	46,772 	46,772 	2,060,662 	Structural Problem 	2002 	
52 	bcsstk30 	HB 	28,924 	28,924 	2,043,492 	Structural Problem 	1986 	
54 	bcsstk32 	HB 	44,609 	44,609 	2,014,701 	Structural Problem 	1986 	
2227 	TSOPF_FS_b39_c19 	TSOPF 	76,216 	76,216 	1,977,600 	Power Network Problem 	2009 	
2462 	coAuthorsDBLP 	DIMACS10 	299,067 	299,067 	1,955,352 	Undirected Graph 	2008 	
1284 	trdheim 	DNVS 	22,098 	22,098 	1,935,324 	Structural Problem 	2004 	
1271 	opt1 	GHS_psdef 	15,449 	15,449 	1,930,655 	Structural Problem 	2004 	
2222 	TSOPF_FS_b162_c3 	TSOPF 	30,798 	30,798 	1,801,300 	Power Network Problem 	2009 	
1213 	Lin 	Lin 	256,000 	256,000 	1,766,400 	Structural Problem 	2004 	
2461 	coAuthorsCiteseer 	DIMACS10 	227,320 	227,320 	1,628,268 	Undirected Graph 	2008 	
855 	pkustk09 	Chen 	33,960 	33,960 	1,583,640 	Structural Problem 	2002 	
2473 	delaunay_n18 	DIMACS10 	262,144 	262,144 	1,572,792 	Undirected Graph 	2011 	
1308 	sparsine 	GHS_indef 	50,000 	50,000 	1,548,988 	Structural Problem 	1995 	
2518 	598a 	DIMACS10 	110,971 	110,971 	1,483,868 	Undirected Graph 	2000 	
2237 	TSOPF_RS_b300_c1 	TSOPF 	14,538 	14,538 	1,474,325 	Power Network Problem 	2009 	
2501 	rgg_n_2_17_s0 	DIMACS10 	131,072 	131,072 	1,457,506 	Undirected Random Graph 	2011 	
340 	bcsstk35 	Boeing 	30,237 	30,237 	1,450,163 	Structural Problem 	1995 	
2526 	fe_rotor 	DIMACS10 	99,617 	99,617 	1,324,862 	Undirected Graph 	2000 	
817 	raefsky4 	Simon 	19,779 	19,779 	1,316,789 	Structural Problem 	1993 	
361 	msc10848 	Boeing 	10,848 	10,848 	1,229,776 	Structural Problem 	1995 	
2456 	caidaRouterLevel 	DIMACS10 	192,244 	192,244 	1,218,132 	Undirected Graph 	2011 	
53 	bcsstk31 	HB 	35,588 	35,588 	1,181,416 	Structural Problem 	1986 	
807 	struct3 	Rothberg 	53,570 	53,570 	1,173,694 	Structural Problem 	1997 	
341 	bcsstk36 	Boeing 	23,052 	23,052 	1,143,140 	Structural Problem 	1995 	
362 	msc23052 	Boeing 	23,052 	23,052 	1,142,686 	Structural Problem 	1995 	
342 	bcsstk37 	Boeing 	25,503 	25,503 	1,140,977 	Structural Problem 	1995 	
2241 	TSOPF_RS_b39_c30 	TSOPF 	60,098 	60,098 	1,079,986 	Power Network Problem 	2009 	
813 	olafu 	Simon 	16,146 	16,146 	1,015,156 	Structural Problem 	1993 	
1233 	dawson5 	GHS_indef 	51,537 	51,537 	1,010,777 	Structural Problem 	2004 	
847 	pkustk01 	Chen 	22,044 	22,044 	979,380 	Structural Problem 	2002 	
1259 	crplat2 	DNVS 	18,010 	18,010 	960,946 	Structural Problem 	2004 	
2528 	fe_tooth 	DIMACS10 	78,136 	78,136 	905,182 	Undirected Graph 	2000 	
1915 	tube2 	TKK 	21,498 	21,498 	897,056 	Structural Problem 	2008 	
1914 	tube1 	TKK 	21,498 	21,498 	897,056 	Structural Problem 	2008 	
930 	sme3Da 	FEMLAB 	12,504 	12,504 	874,887 	Structural Problem 	2003 	
2525 	fe_ocean 	DIMACS10 	143,437 	143,437 	819,186 	Undirected Graph 	2000 	
2234 	TSOPF_RS_b162_c4 	TSOPF 	20,374 	20,374 	812,749 	Power Network Problem 	2009 	
848 	pkustk02 	Chen 	10,800 	10,800 	810,000 	Structural Problem 	2002 	
2472 	delaunay_n17 	DIMACS10 	131,072 	131,072 	786,352 	Undirected Graph 	2011 	
2229 	TSOPF_FS_b39_c7 	TSOPF 	28,216 	28,216 	730,080 	Power Network Problem 	2009 	
